# sep_km, cdf
0.000e+00, 3.282e-01
5.000e+00, 3.124e-01
1.000e+01, 3.256e-01
1.500e+01, 2.228e-01
2.000e+01, 2.222e-01
2.500e+01, 6.364e-02
3.000e+01, 7.403e-02
3.500e+01, 7.143e-02
4.000e+01, 5.993e-02
4.500e+01, 7.486e-02
5.000e+01, 3.636e-02
5.500e+01, 4.394e-02
6.000e+01, 5.588e-02
6.500e+01, 9.701e-02
7.000e+01, 9.091e-02
7.500e+01, 4.878e-02
8.000e+01, 6.630e-02
8.500e+01, 0.000e+00
9.000e+01, 0.000e+00
