d,std
0.0,0.042591078878093706
5.0,0.03038091506192662
10.0,0.03651594347622757
15.0,0.04012480529547776
20.0,0.038249182997810556
25.0,0.023518979554520963
30.0,0.0287411956459799
35.0,0.022135943621178655
40.0,0.035406069988922685
45.0,0.04363094275255813
50.0,0.01904761904761905
55.0,0.029775486063499983
60.0,0.047148126722562085
65.0,0.014801142467215145
70.0,0.011812804933755623
75.0,0.009523809523809525
80.0,0.007767580037583489
85.0,0.007073132314278985
90.0,0.0021598272138228943
95.0,0.005484460694698354
100.0,0.008368200836820083
105.0,0.004098360655737705
110.0,0.003861003861003861
115.0,0.012269938650306749
120.0,0.006134969325153374
125.0,0.013282732447817837
130.0,0.014553014553014554
135.0,0.0056179775280898875
140.0,0.011928429423459244
145.0,0.011494252873563218
