# Microburst catalogue created on 2017-11-17 11:53:44.577216
# dateTime,dos1rate,Lm_OPQ,MLT_OPQ,lat,lon,alt,Loss_Cone_Type
2016-09-30 00:05:02,440.002,5.72423,8.36072,69.0465,128.724,620.132,1.0
2016-09-30 00:05:20.100000,530.003,6.22594,8.28671,70.0767,127.388,620.636,1.0
2016-09-30 00:05:24.800000,570.003,6.34443,8.26966,70.3426,127.023,620.781,1.0
2016-09-30 00:05:28.699999,550.003,6.47082,8.25194,70.5628,126.711,620.9,1.0
2016-09-30 00:05:30.300000,510.003,6.52881,8.24366,70.6529,126.58,620.911,1.0
2016-09-30 00:05:32.799999,600.003,6.59268,8.23488,70.7936,126.377,620.97,1.0
2016-09-30 00:06:35.500000,570.003,8.94243,7.92374,74.2387,120.156,622.768,1.0
2016-09-30 00:06:44.299999,530.003,9.31861,7.87386,74.7059,119.077,622.99,1.0
2016-09-30 00:07:13.199999,240.001,10.5922,7.6991,76.2013,115.059,623.804,-1.0
2016-09-30 00:16:56.700000,650.004,6.45517,0.639145,64.2306,-16.3883,641.338,2.0
2016-09-30 00:16:59.299999,370.002,6.3467,0.617879,64.0787,-16.5163,641.356,2.0
2016-09-30 00:56:15.800000,460.002,5.53685,20.0216,-76.2213,-77.261,709.796,0.0
2016-09-30 01:42:26.699999,750.004,5.44729,8.89227,67.99,105.54,619.79,1.0
2016-09-30 01:42:32.200000,650.004,5.59322,8.87569,68.3066,105.177,619.847,1.0
2016-09-30 01:42:37.700000,830.005,5.71923,8.86162,68.6224,104.81,620.069,1.0
2016-09-30 01:42:39.100000,1420.01,5.7698,8.85593,68.7027,104.712,620.066,1.0
2016-09-30 01:42:40.700000,640.003,5.79543,8.85307,68.7944,104.604,620.081,1.0
2016-09-30 01:42:45.799999,1580.01,5.92797,8.83862,69.0862,104.248,620.271,1.0
2016-09-30 01:42:47.299999,1230.01,5.98213,8.83277,69.1719,104.14,620.342,1.0
2016-09-30 01:42:49.899999,1250.01,6.03586,8.82688,69.3203,103.955,620.341,1.0
2016-09-30 01:42:53.100000,1080.01,6.14634,8.81499,69.5026,103.719,620.414,1.0
2016-09-30 01:42:53.799999,1190.01,6.14634,8.81499,69.5425,103.671,620.441,1.0
2016-09-30 01:43:00.800003,1100.01,6.34809,8.79377,69.9403,103.146,620.625,1.0
2016-09-30 01:43:04.799999,1190.01,6.4673,8.78141,70.1669,102.837,620.76,1.0
2016-09-30 01:43:08,800.004,6.55806,8.77203,70.3479,102.583,620.881,1.0
2016-09-30 01:43:09.199999,930.005,6.61839,8.76572,70.4157,102.488,620.881,1.0
2016-09-30 01:43:10.300000,790.004,6.64981,8.76254,70.4778,102.401,620.891,1.0
2016-09-30 01:43:16,1070.01,6.80745,8.74651,70.7989,101.936,621.101,1.0
2016-09-30 01:43:25.300000,550.003,7.13577,8.71357,71.3204,101.149,621.337,1.0
2016-09-30 01:43:26.399999,590.003,7.16877,8.71021,71.3819,101.053,621.402,1.0
2016-09-30 01:43:31.500000,690.004,7.34167,8.69321,71.6663,100.602,621.466,1.0
2016-09-30 01:43:37.399999,1030.01,7.55181,8.6724,71.9941,100.062,621.716,1.0
2016-09-30 01:43:40.399999,700.004,7.66055,8.66181,72.1602,99.7806,621.724,1.0
2016-09-30 01:43:43.700000,440.002,7.77444,8.65074,72.3425,99.4669,621.818,1.0
2016-09-30 01:44:03,450.002,8.53828,8.57648,73.3987,97.4944,622.354,1.0
2016-09-30 01:44:04.700000,459.956,8.57761,8.57259,73.4909,97.3127,622.428,1.0
2016-09-30 01:44:06,400.002,8.61685,8.56869,73.5612,97.1672,622.5,1.0
2016-09-30 01:54:06.700000,210.001,-1e+31,0.586923,66.1578,-39.0896,640.493,-1.0
2016-09-30 01:54:12.300000,540.003,-1e+31,0.533892,65.8332,-39.4003,640.571,-1.0
2016-09-30 01:54:19.699999,270.001,-1e+31,0.474199,65.4036,-39.7961,640.813,-1.0
2016-09-30 01:55:02.299999,280.002,8.42686,0.152856,62.9148,-41.8726,642.066,0.0
2016-09-30 01:55:07.599999,380.002,8.12303,0.119954,62.6036,-42.1069,642.302,0.0
2016-09-30 01:55:13.300000,430.002,7.80163,0.0815492,62.2685,-42.3567,642.401,0.0
2016-09-30 01:55:17.500000,450.002,7.60145,0.0565795,62.0214,-42.5357,642.602,0.0
2016-09-30 01:55:21.100000,950.005,7.40769,0.031503,61.8094,-42.6895,642.631,0.0
2016-09-30 01:55:25.399999,1720.01,7.23283,0.00809837,61.5561,-42.8675,642.803,1.0
2016-09-30 01:55:29.600000,1650.01,7.06183,23.9846,61.3084,-43.0392,642.905,1.0
2016-09-30 01:55:34.899999,3120.02,6.8606,23.9552,60.9957,-43.2522,643.074,1.0
2016-09-30 01:55:36.600000,3150.02,6.78614,23.9445,60.8953,-43.3214,643.176,1.0
2016-09-30 01:55:40.100000,2569.76,6.63981,23.9221,60.6886,-43.4622,643.21,1.0
2016-09-30 01:55:41.399999,2620.01,6.59997,23.9166,60.6118,-43.512,643.236,1.0
2016-09-30 01:55:42.700000,3740.02,6.56146,23.9106,60.535,-43.5616,643.275,1.0
2016-09-30 01:55:45.299999,3370.02,6.4592,23.8943,60.3812,-43.6644,643.395,1.0
2016-09-30 01:55:48.799999,3490.02,6.35752,23.8787,60.1742,-43.7971,643.497,1.0
2016-09-30 01:55:49.899999,3370.02,6.32156,23.8729,60.1092,-43.8387,643.506,1.0
2016-09-30 01:55:51.899999,3180.02,6.26076,23.8629,59.9908,-43.9147,643.548,1.0
2016-09-30 01:55:52.799999,3210.02,6.22599,23.8571,59.9375,-43.9492,643.578,1.0
2016-09-30 01:55:54.399999,3200.02,6.16626,23.8472,59.8428,-44.0112,643.646,1.0
2016-09-30 01:55:59.700000,1110.01,6.0082,23.8212,59.5289,-44.2076,643.803,2.0
2016-09-30 01:56:01.199999,2610.01,5.95278,23.8116,59.44,-44.2651,643.829,2.0
2016-09-30 01:56:02.100000,2560.01,5.92368,23.8066,59.3867,-44.2986,643.853,2.0
2016-09-30 01:56:04.599999,930.005,5.86263,23.7966,59.2385,-44.3879,643.955,2.0
2016-09-30 01:56:07.400000,1740.01,5.77706,23.7814,59.0724,-44.4904,644.097,2.0
2016-09-30 01:56:10.300000,1220.01,5.69875,23.7674,58.9004,-44.5951,644.11,2.0
2016-09-30 01:56:20.899999,969.908,5.43966,23.7203,58.271,-44.9661,644.421,2.0
2016-09-30 01:56:29.800000,780.004,5.22221,23.6792,57.742,-45.2712,644.702,2.0
2016-09-30 01:56:33.200000,700.004,5.13476,23.6621,57.5397,-45.3881,644.79,2.0
2016-09-30 01:56:34.700000,460.002,5.11182,23.6578,57.4505,-45.4361,644.859,2.0
2016-09-30 01:56:39.899999,-1e+31,5.00379,23.6363,57.1409,-45.6072,645.003,2.0
2016-09-30 01:56:47.899999,360.002,4.83879,23.6029,56.6644,-45.867,645.293,2.0
