2016-10-14 00:25:20.699999,420.002,429.959,520.003,540.003,440.002,540.003,550.003,520.003,420.002,600.003,830.005,910.005,690.004,630.003,680.004,510.003,290.002,250.001,320.002,320.002,309.971,370.002
2016-10-14 00:25:31,590.003,610.003,620.003,600.003,460.002,610.003,830.005,810.004,710.004,829.921,830.005,820.004,660.004,780.004,780.004,710.004,450.002,410.002,390.002,360.002,230.001
2016-10-14 00:25:36.100000,350.002,370.002,420.002,460.002,520.003,460.002,640.003,690.004,520.003,530.003,710.004,680.004,500.003,609.942,530.003,520.003,440.002,550.003,550.003,550.003,490.003
2016-10-14 00:25:40,420.002,450.002,290.002,260.001,380.002,350.002,240.001,290.002,390.002,390.002,370.002,349.967,350.002,380.002,320.002,260.001,280.002,290.002,220.001,230.001,280.002
2016-10-14 00:26:58.899999,40.0002,59.9943,40.0002,40.0002,50.0003,90.0005,60.0003,130.001,270.001,880.005,1340.01,880.005,620.003,200.001,90.0005,160.001,180.001,220.001,180.001,580.003,769.927
2016-10-14 00:27:00.500000,160.001,180.001,220.001,180.001,580.003,769.927,710.004,870.005,1060.01,1190.01,2260.01,840.005,560.003,490.003,1710.01,1230.01,1580.01,870.005,2330.01,1630.01,2250.01,1770.01
2016-10-14 00:27:01.199999,1060.01,1190.01,2260.01,840.005,560.003,490.003,1710.01,1230.01,1580.01,870.005,2330.01,1630.01,2250.01,1770.01,2140.01,899.914,1920.01,2070.01,220.001,210.001
2016-10-14 00:27:02.799999,899.914,1920.01,2070.01,220.001,210.001,300.002,2190.01,1720.01,490.003,1200.01,2260.01,260.001,700.004,1580.01,1220.01,230.001,700.004,1849.82,1640.01,120.001
2016-10-14 00:27:04,260.001,700.004,1580.01,1220.01,230.001,700.004,1849.82,1640.01,120.001,2100.01,110.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-14 00:39:12.599999,260.001,340.002,360.002,300.002,250.001,400.002,460.002,390.002,450.002,499.952,610.003,430.002,410.002,520.003,520.003,490.003,470.003,510.003,530.003,420.002,450.002,480.003
2016-10-14 00:39:15.900000,740.004,750.004,620.003,600.003,640.003,660.004,720.004,760.004,780.004,800.004,810.004,800.004,740.004,669.936,590.003,590.003,590.003,500.003,400.002,370.002,440.002,490.003
