Dist_Total,CDF,PDF
0.0,0.9824561403508771,0.3050682261208576
5.0,0.6773879142300195,0.23196881091617938
10.0,0.44541910331384016,0.04873294346978557
15.0,0.3966861598440546,0.02826510721247566
20.0,0.3684210526315789,0.02631578947368418
25.0,0.34210526315789475,0.030214424951267083
30.0,0.31189083820662766,0.04775828460038983
35.0,0.26413255360623783,0.018518518518518545
40.0,0.24561403508771928,0.025341130604288498
45.0,0.2202729044834308,0.03216374269005848
50.0,0.1881091617933723,0.0029239766081871343
55.0,0.18518518518518517,0.028265107212475632
60.0,0.15692007797270954,0.018518518518518517
65.0,0.13840155945419103,0.03216374269005848
70.0,0.10623781676413255,0.003898635477582846
75.0,0.1023391812865497,0.0009746588693957114
80.0,0.10136452241715399,0.007797270955165692
85.0,0.0935672514619883,0.0
90.0,0.0935672514619883,0.0
95.0,0.0935672514619883,0.001949317738791423
100.0,0.09161793372319688,0.01364522417153996
105.0,0.07797270955165692,0.009746588693957114
110.0,0.0682261208576998,0.0
115.0,0.0682261208576998,0.0
120.0,0.0682261208576998,0.0
125.0,0.0682261208576998,0.012670565302144249
130.0,0.05555555555555555,0.04093567251461988
135.0,0.014619883040935672,0.00682261208576998
140.0,0.007797270955165692,0.0
145.0,0.007797270955165692,0.0
150.0,0.007797270955165692,0.0
155.0,0.007797270955165692,0.0
160.0,0.007797270955165692,0.0
165.0,0.007797270955165692,0.001949317738791423
170.0,0.005847953216374269,0.0
175.0,0.005847953216374269,0.0
180.0,0.005847953216374269,0.0
185.0,0.005847953216374269,0.0
190.0,0.005847953216374269,0.0
