2016-10-14 00:24:47,2016-10-14 00:27:44.899999
2016-10-14 00:37:52.100000,2016-10-14 00:40:42
2016-10-14 01:11:04.099999,2016-10-14 01:13:43
2016-10-14 01:24:46.100000,2016-10-14 01:27:14
2016-10-14 02:02:26.100000,2016-10-14 02:04:48.899999
2016-10-14 02:16:27,2016-10-14 02:18:59
2016-10-14 02:48:36,2016-10-14 02:51:17.899999
2016-10-14 03:03:44.100000,2016-10-14 03:06:20
2016-10-14 03:39:33,2016-10-14 03:41:44.899999
2016-10-14 03:54:07,2016-10-14 03:56:40
2016-10-14 04:26:09.099999,2016-10-14 04:28:53
2016-10-14 04:42:05,2016-10-14 04:44:31
2016-10-14 05:16:15.099999,2016-10-14 05:18:26.899999
2016-10-14 05:30:57.100000,2016-10-14 05:33:44
2016-10-14 06:03:45.100000,2016-10-14 06:06:24.899999
2016-10-14 06:19:15,2016-10-14 06:21:26
2016-10-14 06:52:38,2016-10-14 06:54:50
2016-10-14 07:07:10.099999,2016-10-14 07:10:22
2016-10-14 07:41:17.100000,2016-10-14 07:43:48.899999
2016-10-14 07:55:52.100000,2016-10-14 07:57:55
2016-10-14 08:28:52,2016-10-14 08:31:01
2016-10-14 08:43:16,2016-10-14 08:46:51
2016-10-14 09:18:37.100000,2016-10-14 09:21:01.899999
2016-10-14 09:32:31.100000,2016-10-14 09:34:30
2016-10-14 10:05:12,2016-10-14 10:07:16
2016-10-14 10:19:33,2016-10-14 10:23:15
2016-10-14 10:55:39,2016-10-14 10:57:59.899999
2016-10-14 11:09:27.100000,2016-10-14 11:11:26
2016-10-14 11:41:53,2016-10-14 11:43:51
2016-10-14 11:56:10,2016-10-14 11:59:40
2016-10-14 12:32:19.100000,2016-10-14 12:34:46
2016-10-14 12:46:41.100000,2016-10-14 12:48:47
2016-10-14 13:19:07,2016-10-14 13:21:05
2016-10-14 13:33:04.099999,2016-10-14 13:36:21
2016-10-14 14:09:02,2016-10-14 14:11:36.899999
2016-10-14 14:24:13.099999,2016-10-14 14:26:29
2016-10-14 14:56:54,2016-10-14 14:59:10.900000
2016-10-14 15:10:10,2016-10-14 15:13:28
2016-10-14 15:46:24.100000,2016-10-14 15:49:21
2016-10-14 16:01:59.100000,2016-10-14 16:04:23.899999
2016-10-14 16:35:23,2016-10-14 16:38:32
2016-10-14 16:47:22,2016-10-14 16:51:06
2016-10-14 17:25:11.099999,2016-10-14 17:28:13
2016-10-14 17:39:51.100000,2016-10-14 17:42:19
2016-10-14 18:14:26,2016-10-14 18:19:06.900000
2016-10-14 18:24:44.100000,2016-10-14 18:29:27
2016-10-14 19:04:23,2016-10-14 19:07:19
2016-10-14 19:17:43.299999,2016-10-14 19:20:09.900000
2016-10-14 19:53:44.100000,2016-10-14 20:00:18
2016-10-14 20:02:49,2016-10-14 20:08:43
2016-10-14 20:43:12.099999,2016-10-14 20:45:55.899999
2016-10-14 20:55:38.100000,2016-10-14 20:58:02
2016-10-14 21:33:19.100000,2016-10-14 21:38:48.899999
2016-10-14 21:43:57.100000,2016-10-14 21:48:24.899999
2016-10-14 22:21:26,2016-10-14 22:24:01.899999
2016-10-14 22:33:42.100000,2016-10-14 22:36:04
2016-10-14 23:12:26,2016-10-14 23:16:11
2016-10-14 23:24:33,2016-10-14 23:27:50.899999
2016-10-14 23:59:13.099999,2016-10-14 23:59:59.799999
