mu,sigma
47.695439457071735,4.675998528115872
42.2673766909073,4.677659223427751
39.85055429724735,4.551424398991777
39.49951202290223,4.493568450491537
38.99046797439752,4.666259398921471
37.31388141309254,4.844155230096974
43.437239456632206,5.000507870148651
34.43598631848343,5.045315415749259
39.44107756269231,5.025605316905774
44.739751374045625,5.009951458995936
40.05009291038168,5.08207897794722
46.31464612582275,4.9541435732966805
49.95419630464469,5.062678764848367
44.90100978848029,5.0981908899001365
50.89408417615728,5.117384678505291
50.16635555215769,5.112884102430915
52.3113959644939,5.20161038257868
66.4514012519259,5.316794771581737
62.90892908597627,5.267256658609713
74.12994398652557,5.239599612133287
61.83744852865086,5.186063306518806
63.00675167816165,5.174558648276351
57.86601491531073,5.135717273678659
54.68745449695726,5.1045513175915715
51.30297649081262,5.110057924207616
55.23504418216558,5.061303095176765
56.48314828017716,5.106155211078971
58.23777269715303,5.218819778168136
58.497964337867096,5.290125968678177
65.18207681084081,5.17313426913608
65.54648395650159,5.202961283430485
66.15737506249776,5.163167305976999
63.77922759885377,5.192173754680175
62.45717526077826,5.211841889666286
59.515662704198135,5.2776887479950325
61.494574127248164,5.3398440873244555
62.055074105208696,5.31722496849597
61.74966121957263,5.2923639833323195
62.05100515497559,5.192127125601982
56.57766738704414,5.126775607945717
59.146074804529555,5.208155904792643
55.601133093102675,5.2145824858984735
60.3352317947445,5.069608747972159
60.677681265957,5.001554114869092
56.82104174068483,4.993782875328331
58.88708266316158,5.147779648235142
64.07617826723632,5.249539127741736
60.709563181103235,5.248410550927579
55.142056653748256,5.16512646865172
59.55311522481416,5.323174502700889
64.3424077857225,5.211306076963361
63.95222732532562,5.32846123348854
60.5557897340333,5.284310767170753
57.14878162484607,5.3216315200532165
50.41504652448195,5.27384163957962
48.833546045051435,5.287785895651482
54.45623114331368,5.163397703238707
67.82073216181182,5.171700354864533
73.37992790336858,5.221739150642621
79.5637685742437,5.3082748181519195
78.09065507661109,5.03805585114047
77.77817619827422,5.050636222643015
76.12782774415112,5.086932167634645
82.46588685771374,5.034259486491753
91.94492855990715,5.265160946016391
94.21800728338016,5.311822166543033
94.9489685702651,5.160037977814741
93.25353351511308,5.090077631160026
94.06405512315195,5.087937146095307
95.09761163630131,4.950983792780313
95.33096292912258,4.954465029704799
99.64568910025676,4.899927734512814
99.64568910025676,4.899927734512814
99.64568910025676,4.899927734512814
98.85167743011482,5.041314856621279
93.54260404166699,4.948600845468578
98.37497503070654,4.899052553575394
93.15541620098092,4.781387344836853
92.93541076557658,4.828958957538721
98.99529058132065,4.7120466687990765
86.65983579549653,4.75213951143323
80.79902954026285,4.7099359185127945
73.11538808472106,4.621378228598963
79.48718959858192,4.587456466525018
77.45606339777805,4.768949436810329
78.8278719990507,4.831136002673662
76.28132394996337,4.706591357100161
79.94720996990569,4.635910102332207
84.03575872716954,4.788153984936629
88.0742890594577,4.81643332863981
85.91056081385699,4.793463628832487
92.39344201866447,4.847627137835314
84.84693983351706,4.809796523581008
82.38638204691708,4.77717519075649
73.97470981478796,4.798932930682339
78.52371533123848,4.721730989860395
79.65200513446965,4.873187501283789
74.64616274524082,4.889541012672679
76.25107071212241,5.006992564038659
69.22636709046739,5.043797826744216
70.95211897060031,5.083640758987504
75.26506599949334,5.0827186494742405
77.263957591336,5.139756116477182
80.38998585486404,5.256822380275729
82.3145441211624,5.25281640163484
75.1670511171435,5.051638974937931
70.38997933183565,4.903413190322845
67.12832071649615,4.960325465792859
63.316938305110796,4.815722954947501
61.920993970163344,4.837610430151683
61.63607951158061,4.961525994994848
64.4293275452822,4.757829321867414
66.72928194462966,4.732567915413496
71.84811856357395,4.541636487260626
68.20066543659114,4.435228125638898
71.55639837377224,4.499369769843025
