dateTime,dos1rate,peak_std,Lm_OPQ,MLT_OPQ,lat,lon,alt,Dist_In_Track,Lag_In_Track,Dist_Total,Loss_Cone_Type,flag,AE,time_cc,space_cc,time_spatial_A,time_spatial_B,peak_width_A,peak_width_B,bp_max
2015-04-16 07:15:41.500000,1440.01,3.4555581344348933,5.52055,10.3712,66.335,28.115,675.383,131.85,17.5372,131.858,1.0,0.0,618.0,0.8715671354044578,0.06324547337949943,2015-04-16 07:15:41.500000,2015-04-16 07:15:59.037200,0.5192805843951425,0.3646985094768692,8.29543044760494
2015-04-16 08:19:12.599999,780.0039999999997,4.729455031629595,4.93278,10.1183,-58.843,44.0014,634.1030000000002,131.29,17.3634,131.299,0.0,0.0,398.0,0.8770180442854825,0.0876229164357572,2015-04-16 08:19:12.599999,2015-04-16 08:19:29.963399,0.7514413996069683,0.9654171768812808,3.051340741769999
2015-04-16 08:52:49.100000,620.003,4.372890587272414,5.0597699999999985,10.5207,63.9623,5.7926699999999975,673.295,131.382,17.4708,131.391,1.0,0.0,542.0,0.8528891285655853,-0.17171810430487122,2015-04-16 08:52:49.100000,2015-04-16 08:53:06.570800,0.4052203488505146,0.3685543695576891,6.5147261770160485
2015-04-16 08:53:28.699999,570.003,7.043237458744298,5.5805,10.5344,65.2388,4.6056,674.547,131.355,17.4715,131.363,1.0,0.0,542.0,0.8717100011345016,-0.8594129831541809,2015-04-16 08:53:11.228499,2015-04-16 08:53:28.699999,,0.5571649511129199,3.979328749694946
2015-04-16 11:16:37.000000,3730.02,14.154231643176026,5.33418,22.3086,-52.4586,155.944,668.285,130.036,17.2846,130.047,1.0,4.0,866.0,0.8396247558638865,0.39485095325829145,2015-04-16 11:16:37.000000,2015-04-16 11:16:54.284600,0.5334639155099504,,7.43785399390699
2015-04-16 11:17:03.399999,2449.77,12.000524540442436,5.64176,22.3075,-53.0001,155.614,667.9119999999998,130.043,17.2833,130.054,1.0,4.0,866.0,0.844709344173774,-0.20740215273172646,2015-04-16 11:16:46.116699,2015-04-16 11:17:03.399999,0.7744039336753816,0.5655406188601588,10.502019339643075
2015-04-16 12:21:41.200000,2590.01,9.813627116646076,5.12971,22.4403,66.4318,168.65,700.03,130.17,17.3755,130.179,1.0,0.0,717.0,0.8069120521295472,0.3982821277162056,2015-04-16 12:21:23.824500,2015-04-16 12:21:41.200000,0.7685666273132938,0.5836002976190474,4.959632817244368
2015-04-16 19:29:05.400000,1430.01,5.6647327914994285,5.20716,20.0966,-63.5443,27.0171,662.97,128.4,17.0482,128.409,0.0,4.0,1023.0,0.8233083740210484,-0.2647522810912054,2015-04-16 19:28:48.351800,2015-04-16 19:29:05.400000,0.5722964766623779,0.8863185338443829,4.115986919335514
2015-04-16 19:32:23.600000,1340.01,26.219772338550825,7.945060000000002,18.2682,-75.5354,9.82954,657.377,128.475,17.0414,128.482,0.0,0.0,1057.0,0.8059818839869299,-0.3222951610015002,2015-04-16 19:32:23.600000,2015-04-16 19:32:40.641400,0.6084437949929475,0.8081593570942645,3.2096906304045016
2015-04-16 20:17:02.100000,600.003,8.76075064287294,4.1943199999999985,8.38166,61.3247,-163.474,672.074,129.07,17.1628,129.077,1.0,0.0,1249.0,0.8128295942786484,-0.5217952889896295,2015-04-16 20:16:44.937200,2015-04-16 20:17:02.100000,0.4658678444496095,0.8611330475255201,3.6974732119710043
