curtain catalogue created on 2018-03-27
dateTimeA,dos1rateA,dateTimeB,dos1rateB,Lm_OPQ,MLT_OPQ,lat,lon,alt,Dist_In_Track,Lag_In_Track,Dist_Total,Loss_Cone_Type,cross_correlation
2015-03-29 08:17:37.883400,380.002,2015-03-29 08:17:37.899999,560.003,6.074095,10.07075,-62.22745,46.5248,667.3875,225.6805,29.9824,225.716,0.0,-0.23
2015-03-29 08:17:47.682699,420.002,2015-03-29 08:17:47.600000,860.005,5.856809999999999,10.07645,-61.657250000000005,46.11345,666.762,225.692,29.981650000000002,225.72750000000002,0.0,-0.48
2015-03-29 08:18:28.879699,490.003,2015-03-29 08:18:28.899999,390.002,5.083985,10.0973,-59.23335,44.51715,664.0830000000001,225.7425,29.9787,225.778,0.0,-0.08
2015-03-29 08:52:30.273803,230.001,2015-03-29 08:52:30.100000,380.002,5.59886,10.52905,65.33275,5.002585,635.0315,226.644,29.9747,226.67149999999998,1.0,-0.49
2015-03-29 11:30:28.304799,430.002,2015-03-29 11:30:28.199999,289.972,6.06147,10.2606,-71.79365,7.9695149999999995,677.471,224.8115,29.9037,224.84550000000002,0.0,0.22
2015-03-29 11:30:40.903900,370.002,2015-03-29 11:30:40.899999,410.002,5.814935,10.26175,-71.09845,6.87283,676.748,224.825,29.9027,224.85899999999998,0.0,-0.08
2015-03-29 14:42:26.124199,260.001,2015-03-29 14:42:26.100000,380.002,9.495565,12.1083,-81.54390000000001,3.770645,688.8395,223.86599999999999,29.8229,223.9,0.0,0.39
2015-03-29 14:43:09.520500,260.001,2015-03-29 14:43:09.599999,400.002,8.109015,11.83295,-80.28075,-11.1402,686.808,223.9035,29.81915,223.937,0.0,-0.1
2015-03-29 20:17:43.731399,370.002,2015-03-29 20:17:43.799999,430.002,6.10885,7.700835,67.04339999999999,-167.8395,637.3175,223.9915,29.6324,224.018,1.0,0.43
2015-03-29 20:18:07.133000,420.002,2015-03-29 20:18:07,290.002,6.744960000000001,7.546295000000001,68.3817,-169.308,638.4695,223.9735,29.633899999999997,224.0,1.0,-0.35
2015-03-29 21:06:56.049199,330.002,2015-03-29 21:06:56,480.003,4.64877,19.849800000000002,-67.08664999999999,-0.184795,702.306,222.07150000000001,29.6479,222.1055,0.0,-0.31
2015-03-29 21:07:06.448299,450.002,2015-03-29 21:07:06.599999,580.003,4.744345,19.78925,-67.68010000000001,-0.8160095,702.0844999999999,222.075,29.647,222.109,0.0,-0.18
2015-03-29 21:07:35.045800,810.004,2015-03-29 21:07:34.899999,980.005,5.01497,19.6131,-69.2764,-2.692335,701.418,222.0845,29.644550000000002,222.11849999999998,0.0,0.17
2015-03-29 21:07:37.845599,730.004,2015-03-29 21:07:37.799999,920.005,5.04423,19.59435,-69.43525,-2.8952,701.345,222.086,29.644350000000003,222.11950000000002,0.0,-0.33
2015-03-29 21:07:52.244500,560.003,2015-03-29 21:07:52.200000,730.004,5.19109,19.49805,-70.23455,-3.96213,700.95,222.09199999999998,29.64315,222.1255,0.0,0.03
2015-03-29 21:08:31.141100,360.002,2015-03-29 21:08:31.100000,590.003,5.61298,19.21555,-72.3612,-7.277374999999999,699.9325,222.1085,29.6398,222.142,0.0,0.44
2015-03-29 21:17:36.694499,270.001,2015-03-29 21:17:36.600000,420.002,6.406605000000001,13.3039,-71.0592,-139.917,675.708,222.53199999999998,29.59335,222.566,1.0,0.58
2015-03-29 21:17:58.792799,250.001,2015-03-29 21:17:58.700000,390.002,6.08717,13.151900000000001,-69.83064999999999,-141.6605,674.346,222.555,29.5916,222.589,1.0,-0.12
2015-03-29 22:58:10.106800,240.001,2015-03-29 22:58:10,230.001,6.19378,12.531400000000001,-61.65445,-173.9845,665.399,222.154,29.505899999999997,222.1875,1.0,-0.3
2015-04-04 00:22:28.277100,1000.01,2015-04-04 00:22:28.300000,920.005,-1e+31,1.8912849999999999,71.04135,-6.174885,676.9725000000001,196.0245,26.077550000000002,196.0445,-1.0,0.11
2015-04-04 00:23:24.478999,820.004,2015-04-04 00:23:24.500000,1030.01,10.132100000000001,1.3276599999999998,67.89335,-10.253599999999999,678.8785,195.975,26.07945,195.995,-1.0,-0.4
2015-04-04 00:23:32.279300,599.943,2015-04-04 00:23:32.100000,660.004,9.348865,1.25731,67.45615000000001,-10.7333,679.0935,195.96800000000002,26.07975,195.988,0.0,-0.5
2015-04-04 00:24:30.081000,850.005,2015-04-04 00:24:29.899999,1120.01,6.30771,0.809477,64.14085,-13.8628,680.8689999999999,195.916,26.0813,195.93650000000002,0.5,0.24
2015-04-04 01:15:31.165499,539.949,2015-04-04 01:15:31,700.004,8.55977,12.07795,-57.97839999999999,149.5675,650.579,195.13,25.86525,195.154,1.0,-0.51
2015-04-04 01:15:55.165000,550.003,2015-04-04 01:15:55.299999,810.004,7.717745,11.96575,-56.542500000000004,148.7705,649.1825,195.15800000000002,25.864649999999997,195.18200000000002,1.0,0.5
2015-04-04 01:16:15.164399,680.004,2015-04-04 01:16:15.300000,1070.01,7.064145,11.88115,-55.34995,148.14800000000002,647.9945,195.1815,25.864150000000002,195.2055,1.0,-0.12
2015-04-04 01:16:20.264299,620.003,2015-04-04 01:16:20.300000,880.005,6.9089,11.861,-55.0484,147.99599999999998,647.6535,195.187,25.86405,195.2115,1.0,-0.59
