Separation [km],Seconds
0,17048.699999999997
3,25189.800000000003
6,22720.3
9,10830.2
12,3933.7
15,8704.8
18,8723.0
21,5079.599999999999
24,5211.900000000001
27,27332.1
30,53674.0
33,20106.699999999993
36,14650.200000000003
39,14610.5
42,15686.9
45,26785.7
48,7122.6
51,6279.400000000001
54,11168.4
57,10187.4
60,12519.1
63,6465.000000000001
66,12144.7
69,8767.199999999999
72,6719.0
75,6413.599999999999
78,5145.099999999999
81,11999.2
84,3682.4000000000005
87,7294.5
90,91.6
93,2770.1
96,4252.6
99,3894.2
102,6289.1
105,3388.1
108,0.0
111,0.0
114,0.0
117,0.0
120,0.0
123,0.0
126,3060.1000000000004
129,3929.3
132,4614.3
135,2631.8
138,4723.7
141,1228.7
144,917.2
147,2676.0
150,64.4
153,0.0
156,0.0
159,0.0
162,0.0
165,2191.1
168,2774.5
171,2193.8999999999996
174,3928.2999999999997
177,4051.1
180,1759.8
183,0.0
186,0.0
189,3737.6000000000004
192,4056.7999999999997
195,3275.8
198,0.0
201,0.0
204,0.0
207,2826.8
210,3980.9
213,3339.8
216,3820.0
219,2844.0
222,4630.1
225,3252.2
228,4095.6
231,4756.2
234,727.4
237,0.0
240,1614.7
243,474.3
246,0.0
249,0.0
252,0.0
255,0.0
258,0.0
261,0.0
264,0.0
267,0.0
270,0.0
273,0.0
276,0.0
279,0.0
282,0.0
285,0.0
288,0.0
291,0.0
294,0.0
297,0.0
300,0.0
303,0.0
306,0.0
309,0.0
312,0.0
315,0.0
318,0.0
321,0.0
324,0.0
327,0.0
330,0.0
333,0.0
336,0.0
339,0.0
342,0.0
345,0.0
348,0.0
351,0.0
354,0.0
357,0.0
360,0.0
363,0.0
366,0.0
369,0.0
372,0.0
375,0.0
378,0.0
381,0.0
384,0.0
387,0.0
390,0.0
393,0.0
396,0.0
399,0.0
402,0.0
405,0.0
408,0.0
411,0.0
414,0.0
417,0.0
420,0.0
423,0.0
426,0.0
429,0.0
432,0.0
435,0.0
438,0.0
441,0.0
444,0.0
447,0.0
450,0.0
453,0.0
456,127.1
459,857.4
462,1362.2
465,184.2
468,80.9
471,0.0
474,0.0
477,0.0
480,0.0
483,0.0
486,0.0
489,0.0
492,0.0
495,0.0
