Separation [km],Seconds
0,42083.9
10,19288.5
20,25345.6
30,55349.9
40,34844.4
50,15470.3
60,21311.4
70,16157.3
80,14778.9
90,4504.2
100,5617.9
110,0.0
120,1978.8
130,6628.4
140,3897.3
150,301.0
160,2969.8
170,5819.0
180,1334.5
190,4928.6
200,1412.7
210,6184.4
220,6106.9
230,3098.4
240,1132.6
250,0.0
260,0.0
270,0.0
280,0.0
290,0.0
300,0.0
310,0.0
320,0.0
330,0.0
340,0.0
350,0.0
360,0.0
370,0.0
380,0.0
390,0.0
400,0.0
410,0.0
420,0.0
430,0.0
440,0.0
450,88.9
460,1102.9
470,0.0
480,0.0
490,0.0
